Transaction Date,Vendor,Debit Amount,Category
2024-06-30,COLD STORAGE-COMPASS O SI NG 28JUN,3.4,Shopping
2024-06-29,HANA FILM PTE LTD      SI NG 27JUN,10.0,Shopping
2024-06-29,HANA FILM PTE LTD      SI NG 27JUN,2.0,Shopping
2024-06-28,JAPAN HOME             SI NG 27JUN,3.15,Shopping
2024-06-27,7-ELEVEN-COMPASS ONE   SI NG 25JUN,26.4,Shopping
2024-06-27,GUARDIAN - COMPASS ONE SI NG 25JUN,3.55,Shopping
2024-06-23,10098095,1.0,Shopping
2024-06-22,IKEA                   SI NG 19JUN,58.8,Shopping
2024-06-21,TOG CONNECTION PTE LTD SI NG 20JUN,35.0,Shopping
2024-06-19,SCALACUBE              TA LL 16JUN,5.72,Shopping
2024-06-15,SHAW THEATRES SHAW.SG  IN TE 13JUN,33.0,Shopping
